cast,title,year
Zoe Saldana,Avatar,2009-12-10
Sigourney Weaver,Avatar,2009-12-10
Leonardo DiCaprio,Titanic,1997-11-18
Kate Winslet,Titanic,1997-11-18
Robert Downey Jr.,The Avengers,2012-04-25
Chris Evans,The Avengers,2012-04-25
Mark Ruffalo,The Avengers,2012-04-25
Dwayne Johnson,Furious 7,2015-04-01
Vin Diesel,Furious 7,2015-04-01
Paul Walker,Furious 7,2015-04-01
Robert Downey Jr.,Avengers: Age of Ultron,2015-04-22
Mark Ruffalo,Avengers: Age of Ultron,2015-04-22
Chris Hemsworth,Avengers: Age of Ultron,2015-04-22
Robert Downey Jr.,Iron Man 3,2013-04-18
Gwyneth Paltrow,Iron Man 3,2013-04-18
Don Cheadle,Iron Man 3,2013-04-18
Sandra Bullock,Minions,2015-06-17
Michael Keaton,Minions,2015-06-17
Robert Downey Jr.,Captain America: Civil War,2016-04-27
Chris Evans,Captain America: Civil War,2016-04-27
Scarlett Johansson,Captain America: Civil War,2016-04-27
Shia LaBeouf,Transformers: Dark of the Moon,2011-06-28
John Malkovich,Transformers: Dark of the Moon,2011-06-28
Ian McKellen,The Lord of the Rings: The Return of the King,2003-12-01
Elijah Wood,The Lord of the Rings: The Return of the King,2003-12-01
Viggo Mortensen,The Lord of the Rings: The Return of the King,2003-12-01
Daniel Craig,Skyfall,2012-10-25
Javier Bardem,Skyfall,2012-10-25
Mark Wahlberg,Transformers: Age of Extinction,2014-06-25
Christian Bale,The Dark Knight Rises,2012-07-16
Gary Oldman,The Dark Knight Rises,2012-07-16
Michael Caine,The Dark Knight Rises,2012-07-16
Tom Hanks,Toy Story 3,2010-06-16
Tim Allen,Toy Story 3,2010-06-16
Johnny Depp,Pirates of the Caribbean: Dead Man's Chest,2006-06-20
Keira Knightley,Pirates of the Caribbean: Dead Man's Chest,2006-06-20
Johnny Depp,Pirates of the Caribbean: On Stranger Tides,2011-05-14
Penélope Cruz,Pirates of the Caribbean: On Stranger Tides,2011-05-14
Johnny Depp,Alice in Wonderland,2010-03-03
Anne Hathaway,Alice in Wonderland,2010-03-03
Ian McKellen,The Hobbit: An Unexpected Journey,2012-11-26
Christian Bale,The Dark Knight,2008-07-16
Aaron Eckhart,The Dark Knight,2008-07-16
Heath Ledger,The Dark Knight,2008-07-16
Emma Watson,Harry Potter and the Philosopher's Stone,2001-11-16
Steve Carell,Despicable Me 2,2013-06-25
Kristen Wiig,Despicable Me 2,2013-06-25
Ben Kingsley,The Jungle Book,2016-04-07
Bill Murray,The Jungle Book,2016-04-07
Johnny Depp,Pirates of the Caribbean: At World's End,2007-05-19
Keira Knightley,Pirates of the Caribbean: At World's End,2007-05-19
Ian McKellen,The Hobbit: The Desolation of Smaug,2013-12-11
Ian McKellen,The Hobbit: The Battle of the Five Armies,2014-12-10
Emma Watson,Harry Potter and the Order of the Phoenix,2007-06-28
Emma Watson,Harry Potter and the Half-Blood Prince,2009-07-07
Ian McKellen,The Lord of the Rings: The Two Towers,2002-12-18
Elijah Wood,The Lord of the Rings: The Two Towers,2002-12-18
Viggo Mortensen,The Lord of the Rings: The Two Towers,2002-12-18
Natalie Portman,Star Wars: Episode I - The Phantom Menace,1999-05-19
Ewan McGregor,Star Wars: Episode I - The Phantom Menace,1999-05-19
Liam Neeson,Star Wars: Episode I - The Phantom Menace,1999-05-19
Sam Neill,Jurassic Park,1993-06-11
Cameron Diaz,Shrek 2,2004-05-19
Eddie Murphy,Shrek 2,2004-05-19
Mike Myers,Shrek 2,2004-05-19
Emma Watson,Harry Potter and the Goblet of Fire,2005-11-05
James Franco,Spider-Man 3,2007-05-01
Kirsten Dunst,Spider-Man 3,2007-05-01
John Leguizamo,Ice Age: Dawn of the Dinosaurs,2009-06-29
