director,revenue,popularity,vote_average,name
2341,1672730,0.031947,5.0,No director
2341,1100000,0.253595,6.7,No director
2341,0,0.027801,0.0,No director
2341,0,0.001186,0.0,No director
2341,0,0.094105,10.0,No director
2341,0,0.055325,3.0,No director
2341,0,0.018087,0.0,No director
2341,0,0.005883,0.0,No director
2341,0,0.004998,0.0,No director
2341,0,0.0921,10.0,No director
2341,0,0.010607,0.0,No director
2341,0,0.052942,8.0,No director
2341,0,0.165257,2.4,No director
2341,0,0.073079,2.0,No director
2341,0,0.084344,3.8,No director
2341,0,0.003352,0.0,No director
2341,0,0.005256,0.0,No director
2341,0,0.948316,7.7,No director
2341,0,0.060003,8.0,No director
2341,0,0.0206,4.8,No director
2341,0,0.057564,4.8,No director
2341,0,0.002386,0.0,No director
2341,0,0.014406,5.0,No director
2341,0,0.012942,0.0,No director
2341,0,0.006943,0.0,No director
2341,0,2.126139,6.6,No director
2341,0,0.18887,6.8,No director
2341,0,0.028756,0.0,No director
2341,0,1.546169,7.0,No director
2107,920100000,40.413191,7.6,Steven Spielberg
2107,792910554,56.105798,7.3,Steven Spielberg
2107,786636033,75.674458,5.7,Steven Spielberg
2107,591739379,48.572726,6.2,Steven Spielberg
2107,481840909,76.041867,7.9,Steven Spielberg
2107,474171806,80.972475,7.6,Steven Spielberg
2107,470654000,50.152327,7.5,Steven Spielberg
2107,389925971,68.159596,7.7,Steven Spielberg
2107,371940071,89.938296,6.7,Steven Spielberg
2107,358372926,65.948959,7.1,Steven Spielberg
2107,352114312,73.944049,7.7,Steven Spielberg
2107,333000000,66.976776,7.1,Steven Spielberg
2107,321365567,104.469351,8.3,Steven Spielberg
2107,303788635,52.456505,7.2,Steven Spielberg
2107,300854823,33.648404,6.6,Steven Spielberg
2107,275293450,36.307296,6.7,Steven Spielberg
2107,235926552,34.035114,6.8,Steven Spielberg
2107,229074524,2.502487,6.2,Steven Spielberg
2107,219417255,57.753914,7.0,Steven Spielberg
2107,183345589,44.19092,6.0,Steven Spielberg
2107,177584879,29.505574,7.0,Steven Spielberg
2107,165478348,48.445978,7.2,Steven Spielberg
2107,146292009,17.571533,7.7,Steven Spielberg
2107,130358911,29.035222,6.9,Steven Spielberg
2107,74000000,3.698276,6.8,Steven Spielberg
2107,31755742,10.032626,5.6,Steven Spielberg
2107,29450919,12.902975,6.2,Steven Spielberg
2322,151119219,43.753585,7.4,Woody Allen
2322,99206215,34.694216,7.0,Woody Allen
2322,96408652,32.758254,6.7,Woody Allen
2322,85306374,30.669913,7.3,Woody Allen
2322,73244881,15.013386,5.6,Woody Allen
2322,38251425,35.892034,7.8,Woody Allen
2322,35097815,21.857387,6.8,Woody Allen
2322,31584901,17.229537,6.4,Woody Allen
2322,18344729,10.664202,7.0,Woody Allen
2322,18016290,13.223111,6.6,Woody Allen
2322,11833696,5.941852,6.7,Woody Allen
2322,10686841,11.352693,7.3,Woody Allen
2322,0,8.945081,6.2,Woody Allen
2322,0,8.711782,6.4,Woody Allen
2322,0,7.612849,7.0,Woody Allen
2322,0,11.423533,6.4,Woody Allen
2322,0,7.594593,6.0,Woody Allen
2322,0,12.4654,5.8,Woody Allen
2322,0,9.317265,6.5,Woody Allen
2322,0,7.829295,7.0,Woody Allen
2322,0,12.379781,6.5,Woody Allen
377,542307423,87.53437,7.4,Clint Eastwood
377,269958228,50.7453,7.8,Clint Eastwood
377,216763646,70.456012,7.7,Clint Eastwood
377,182016617,17.606087,7.3,Clint Eastwood
377,159157447,37.380435,7.7,Clint Eastwood
377,156822020,31.242999,7.6,Clint Eastwood
377,128884132,15.772081,6.3,Clint Eastwood
377,122233971,23.85119,7.0,Clint Eastwood
377,113020255,27.50916,7.3,Clint Eastwood
377,105197635,13.365715,5.8,Clint Eastwood
377,84606030,28.069419,6.0,Clint Eastwood
377,70687344,8.700565,5.5,Clint Eastwood
377,68673228,24.47248,7.2,Clint Eastwood
377,67347013,14.199933,6.8,Clint Eastwood
377,65900249,23.9366,6.7,Clint Eastwood
377,50068310,13.576765,6.4,Clint Eastwood
377,41410568,14.574995,7.0,Clint Eastwood
377,26199517,10.089065,6.1,Clint Eastwood
377,25105255,5.525544,6.3,Clint Eastwood
377,15700000,19.127239,7.4,Clint Eastwood
1431,392000694,95.007934,7.9,Martin Scorsese
1431,294804195,81.914696,7.8,Martin Scorsese
1431,289847354,63.429157,7.9,Martin Scorsese
1431,193772504,46.160048,7.1,Martin Scorsese
1431,185770160,32.319043,7.0,Martin Scorsese
1431,182300000,27.714043,7.0,Martin Scorsese
1431,116112375,40.06688,7.8,Martin Scorsese
1431,102000000,45.616098,7.0,Martin Scorsese
1431,52293982,17.3393,6.7,Martin Scorsese
1431,46836394,63.654244,8.2,Martin Scorsese
1431,32255440,9.133747,7.0,Martin Scorsese
1431,28262574,58.845025,8.0,Martin Scorsese
1431,23000000,35.524457,7.7,Martin Scorsese
1431,8373585,14.672151,7.0,Martin Scorsese
1431,5684789,7.039189,6.8,Martin Scorsese
1431,3000000,17.002096,7.2,Martin Scorsese
1431,321952,3.277287,7.9,Martin Scorsese
1431,0,2.162522,7.2,Martin Scorsese
1431,0,3.876242,6.1,Martin Scorsese
1431,0,15.560918,6.6,Martin Scorsese
1851,630161890,167.93287,7.6,Ridley Scott
1851,457640427,95.301296,7.9,Ridley Scott
1851,403170142,68.889395,6.3,Ridley Scott
1851,310669540,37.668301,6.2,Ridley Scott
1851,268031828,101.599427,5.6,Ridley Scott
1851,266465037,42.361215,7.4,Ridley Scott
1851,211643158,44.490453,6.6,Ridley Scott
1851,172989651,44.455166,7.2,Ridley Scott
1851,113280098,37.507136,6.5,Ridley Scott
1851,104931801,94.184658,7.9,Ridley Scott
1851,71009334,35.022029,5.0,Ridley Scott
1851,48169156,19.434672,6.0,Ridley Scott
1851,45892212,11.19602,6.2,Ridley Scott
1851,42064105,16.782471,6.5,Ridley Scott
1851,33139618,94.056131,7.9,Ridley Scott
1851,10300000,10.047579,6.3,Ridley Scott
1894,197011982,21.998734,4.7,Robert Rodriguez
1894,158733820,66.003433,7.2,Robert Rodriguez
1894,147934180,21.543389,5.5,Robert Rodriguez
1894,119723358,24.085144,5.3,Robert Rodriguez
1894,98185582,27.555646,6.2,Robert Rodriguez
1894,85564310,14.788073,4.4,Robert Rodriguez
1894,69425966,12.31101,4.4,Robert Rodriguez
1894,40283321,21.535126,6.2,Robert Rodriguez
1894,39407616,85.428395,6.3,Robert Rodriguez
1894,31327899,26.396191,6.3,Robert Rodriguez
1894,28972508,4.100942,5.1,Robert Rodriguez
1894,25836616,64.181668,6.9,Robert Rodriguez
1894,25405445,25.511217,6.8,Robert Rodriguez
1894,25037897,16.637642,6.8,Robert Rodriguez
1894,15008161,29.072964,5.3,Robert Rodriguez
1894,2040920,14.269792,6.6,Robert Rodriguez
2050,184376254,45.220386,7.3,Spike Lee
2050,48169908,19.822791,7.2,Spike Lee
2050,37295445,15.580335,7.6,Spike Lee
2050,21567853,10.232599,6.7,Spike Lee
2050,16153593,3.079862,6.3,Spike Lee
2050,13060843,30.196039,7.2,Spike Lee
2050,9323833,11.387408,6.3,Spike Lee
2050,5731103,4.623059,7.0,Spike Lee
2050,4939939,2.993939,5.7,Spike Lee
2050,0,4.480579,4.1,Spike Lee
2050,0,6.722213,6.1,Spike Lee
2050,0,1.89218,6.7,Spike Lee
2050,0,2.23411,6.3,Spike Lee
2050,0,1.918959,6.3,Spike Lee
2050,0,3.70789,6.3,Spike Lee
2050,0,3.159574,6.2,Spike Lee
1810,255000211,26.19909,6.1,Renny Harlin
1810,240031094,57.69847,6.6,Renny Harlin
1810,89456761,15.858629,6.5,Renny Harlin
1810,78000586,15.761384,4.7,Renny Harlin
1810,73648228,22.991269,5.6,Renny Harlin
1810,72500000,17.113408,5.8,Renny Harlin
1810,61279452,25.020428,4.4,Renny Harlin
1810,54744738,8.468586,4.5,Renny Harlin
1810,37597471,15.804814,5.2,Renny Harlin
1810,21148829,17.193659,6.3,Renny Harlin
1810,20423389,2.808428,6.2,Renny Harlin
1810,17280326,15.66135,5.7,Renny Harlin
1810,10017322,7.029308,5.7,Renny Harlin
1810,354704,7.605291,6.7,Renny Harlin
1810,17479,5.727602,5.8,Renny Harlin
2106,450717150,60.929352,7.2,Steven Soderbergh
2106,362744280,76.840712,6.4,Steven Soderbergh
2106,311312624,42.069993,6.5,Steven Soderbergh
2106,256271286,30.347332,7.1,Steven Soderbergh
2106,207515725,25.170217,6.9,Steven Soderbergh
