genres,year,count
Action,1910,0
Action,1920,0
Action,1930,2
Action,1940,2
Action,1950,4
Action,1960,17
Action,1970,33
Action,1980,84
Action,1990,200
Action,2000,467
Action,2010,345
Adventure,1910,0
Adventure,1920,0
Adventure,1930,3
Adventure,1940,1
Adventure,1950,3
Adventure,1960,14
Adventure,1970,29
Adventure,1980,75
Adventure,1990,127
Adventure,2000,320
Adventure,2010,218
Animation,1910,0
Animation,1920,0
Animation,1930,1
Animation,1940,3
Animation,1950,0
Animation,1960,1
Animation,1970,0
Animation,1980,4
Animation,1990,26
Animation,2000,108
Animation,2010,91
Comedy,1910,0
Comedy,1920,0
Comedy,1930,7
Comedy,1940,1
Comedy,1950,4
Comedy,1960,15
Comedy,1970,26
Comedy,1980,82
Comedy,1990,317
Comedy,2000,809
Comedy,2010,461
Crime,1910,0
Crime,1920,0
Crime,1930,0
Crime,1940,2
Crime,1950,3
Crime,1960,10
Crime,1970,13
Crime,1980,32
Crime,1990,147
Crime,2000,308
Crime,2010,181
Documentary,1910,0
Documentary,1920,0
Documentary,1930,0
Documentary,1940,0
Documentary,1950,0
Documentary,1960,0
Documentary,1970,2
Documentary,1980,1
Documentary,1990,3
Documentary,2000,57
Documentary,2010,45
Drama,1910,1
Drama,1920,4
Drama,1930,8
Drama,1940,16
Drama,1950,20
Drama,1960,42
Drama,1970,49
Drama,1980,100
Drama,1990,396
Drama,2000,1015
Drama,2010,645
Family,1910,0
Family,1920,0
Family,1930,2
Family,1940,5
Family,1950,0
Family,1960,7
Family,1970,7
Family,1980,19
Family,1990,79
Family,2000,248
Family,2010,146
Fantasy,1910,0
Fantasy,1920,0
Fantasy,1930,2
Fantasy,1940,2
Fantasy,1950,0
Fantasy,1960,1
Fantasy,1970,6
Fantasy,1980,36
Fantasy,1990,84
Fantasy,2000,178
Fantasy,2010,115
Foreign,1910,0
Foreign,1920,0
Foreign,1930,0
Foreign,1940,0
Foreign,1950,0
Foreign,1960,1
Foreign,1970,0
Foreign,1980,0
Foreign,1990,6
Foreign,2000,23
Foreign,2010,4
History,1910,0
History,1920,0
History,1930,1
History,1940,2
History,1950,4
History,1960,12
History,1970,7
History,1980,17
History,1990,27
History,2000,77
History,2010,50
Horror,1910,0
Horror,1920,0
Horror,1930,0
Horror,1940,0
Horror,1950,1
Horror,1960,5
Horror,1970,15
Horror,1980,59
Horror,1990,67
Horror,2000,189
Horror,2010,183
Music,1910,0
Music,1920,1
Music,1930,3
Music,1940,4
Music,1950,4
Music,1960,8
Music,1970,9
Music,1980,12
Music,1990,20
Music,2000,80
Music,2010,44
Mystery,1910,0
Mystery,1920,0
Mystery,1930,0
Mystery,1940,4
Mystery,1950,1
Mystery,1960,6
Mystery,1970,5
Mystery,1980,11
Mystery,1990,71
Mystery,2000,163
Mystery,2010,87
Romance,1910,0
Romance,1920,3
Romance,1930,8
Romance,1940,8
Romance,1950,10
Romance,1960,13
Romance,1970,16
Romance,1980,37
Romance,1990,168
Romance,2000,436
Romance,2010,195
Science Fiction,1910,0
Science Fiction,1920,1
Science Fiction,1930,0
Science Fiction,1940,0
Science Fiction,1950,2
Science Fiction,1960,5
Science Fiction,1970,27
Science Fiction,1980,55
Science Fiction,1990,92
Science Fiction,2000,194
Science Fiction,2010,159
TV Movie,1910,0
TV Movie,1920,0
TV Movie,1930,0
TV Movie,1940,0
TV Movie,1950,0
TV Movie,1960,1
TV Movie,1970,0
TV Movie,1980,0
TV Movie,1990,0
TV Movie,2000,2
TV Movie,2010,5
Thriller,1910,0
Thriller,1920,1
Thriller,1930,0
Thriller,1940,2
Thriller,1950,2
Thriller,1960,15
Thriller,1970,26
Thriller,1980,71
Thriller,1990,225
Thriller,2000,536
Thriller,2010,396
War,1910,0
War,1920,1
War,1930,3
War,1940,2
War,1950,3
War,1960,7
War,1970,9
War,1980,12
War,1990,17
War,2000,58
War,2010,32
Western,1910,0
Western,1920,0
Western,1930,0
Western,1940,3
Western,1950,3
Western,1960,11
Western,1970,4
Western,1980,9
Western,1990,10
Western,2000,20
Western,2010,22
