year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
1916,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1927,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1929,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,1,0,0
1930,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1932,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1933,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1934,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1935,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1936,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
1937,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
1938,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0
1939,0,1,0,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0
1940,0,1,2,0,0,0,3,3,1,0,0,0,1,1,1,0,0,0,0,0
1941,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1942,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0
1944,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1945,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,0
1946,0,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,0,1
1947,1,0,0,0,1,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0
1948,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
1949,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
1950,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1951,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,0
1952,1,0,0,1,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,1
1953,0,1,0,0,1,0,3,0,0,0,0,1,0,0,1,1,0,1,1,0
1954,1,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0
1955,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1956,1,1,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1
1957,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0
1958,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1959,0,0,0,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,0
1960,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0
1961,1,0,0,1,1,0,5,0,0,0,1,0,1,0,1,0,0,0,0,0
1962,2,2,0,0,1,0,4,0,0,0,2,1,0,0,1,1,0,1,2,1
1963,4,5,0,3,1,0,4,0,0,0,4,0,0,0,3,0,0,2,1,1
1964,2,1,0,3,0,0,6,2,1,0,1,0,2,0,2,0,0,2,2,1
1965,1,1,1,1,0,0,5,2,0,0,1,0,1,0,2,0,1,2,2,1
1966,1,1,0,2,2,0,2,1,0,0,1,0,1,2,0,1,0,2,0,1
1967,2,1,0,0,2,0,2,0,0,0,1,1,0,1,0,0,0,2,0,0
1968,0,1,0,1,0,0,4,2,0,0,0,2,1,2,1,3,0,0,0,3
1969,4,2,0,3,3,0,7,0,0,1,1,0,2,1,2,0,0,3,0,3
1970,4,3,0,4,0,1,8,0,0,0,5,0,2,1,1,1,0,2,3,1
1971,4,1,0,1,2,0,3,1,1,0,0,1,0,0,3,2,0,3,0,0
1972,1,2,0,3,3,0,6,0,0,0,1,1,1,2,0,3,0,1,0,0
1973,2,1,0,3,2,0,4,0,0,0,0,1,0,0,1,2,0,2,0,2
1974,1,2,0,3,2,0,3,1,0,0,0,1,0,1,2,1,0,1,0,1
1975,1,2,0,3,0,0,2,0,1,0,0,1,0,0,1,1,0,1,1,0
1976,2,2,0,3,2,0,4,1,0,0,0,1,0,0,2,1,0,2,0,0
1977,6,5,0,3,0,0,8,0,2,0,1,3,2,0,2,6,0,4,2,0
1978,5,4,0,1,0,1,5,1,2,0,0,4,2,0,3,3,0,5,2,0
1979,7,7,0,2,2,0,6,3,0,0,0,2,2,1,1,7,0,5,1,0
1980,5,3,0,6,1,0,9,0,2,0,3,3,3,1,2,5,0,3,0,2
1981,9,10,1,8,3,0,10,2,2,0,5,5,0,2,4,4,0,8,3,1
1982,8,6,0,6,2,0,8,2,5,0,1,8,0,2,2,8,0,7,1,1
1983,7,7,0,5,3,0,10,1,3,0,1,3,2,1,5,6,0,8,0,2
1984,12,7,0,9,6,0,10,2,6,0,3,7,3,1,3,8,0,7,0,0
1985,10,10,0,5,3,0,10,4,4,0,0,5,1,1,6,6,0,9,1,2
1986,7,7,0,8,4,0,9,0,4,0,0,7,1,2,6,5,0,3,2,0
1987,8,9,1,13,3,0,11,4,5,0,2,6,2,0,3,4,0,7,1,0
1988,7,6,2,10,4,0,12,2,3,0,0,9,0,0,3,4,0,11,1,1
1989,11,10,0,12,3,1,11,2,2,0,2,6,0,1,3,5,0,8,3,0
1990,8,8,0,11,4,0,10,4,3,0,0,7,0,2,5,5,0,9,0,2
1991,11,10,0,11,6,0,13,5,4,0,1,2,1,0,4,5,0,11,0,0
1992,9,5,1,12,11,0,13,4,6,0,3,6,2,1,7,5,0,10,1,1
1993,17,13,1,14,8,0,26,8,10,0,3,3,2,3,11,7,0,12,2,1
1994,21,9,1,26,13,1,20,6,9,0,1,3,0,5,9,4,0,18,2,1
1995,25,11,2,23,20,0,37,6,8,0,3,6,1,4,17,5,0,24,3,1
1996,22,14,4,37,17,0,57,8,10,0,4,6,4,6,21,9,0,36,2,0
1997,37,23,3,38,24,1,53,9,10,2,3,10,2,18,21,19,0,41,0,0
1998,25,21,8,61,20,0,76,14,13,1,4,9,4,12,31,13,0,25,4,0
1999,25,13,6,84,24,1,91,15,11,3,5,15,4,20,42,20,0,39,3,4
2000,40,24,11,70,29,1,81,20,11,3,1,13,7,8,39,18,0,48,3,3
2001,53,27,9,85,34,3,75,17,16,3,5,11,6,19,52,19,0,53,6,2
2002,52,40,9,82,34,3,113,27,14,0,9,16,5,19,46,18,0,65,6,1
2003,42,28,6,72,32,5,72,18,15,2,7,12,7,15,27,15,0,46,5,2
2004,41,32,11,82,23,5,101,23,16,2,6,14,10,14,45,20,0,47,6,2
2005,48,37,9,82,29,10,115,31,20,3,11,25,6,13,49,14,0,52,6,2
2006,50,34,15,90,34,10,133,35,25,1,8,20,7,15,46,18,2,58,9,1
2007,44,25,10,67,28,7,97,20,19,3,9,27,11,17,37,13,0,53,2,5
2008,46,37,13,82,33,8,106,29,20,2,13,21,10,15,38,27,0,55,11,2
2009,51,36,15,97,32,5,122,28,22,4,8,30,11,28,57,32,0,59,4,0
2010,49,30,13,87,30,7,115,29,21,1,8,27,2,17,45,19,0,56,6,5
2011,58,32,17,82,24,7,99,28,15,2,8,24,5,16,30,26,1,69,6,3
2012,43,25,13,80,27,9,79,17,19,1,4,33,7,8,39,22,2,58,2,2
2013,56,36,17,71,37,10,110,22,21,0,8,25,12,5,25,27,2,53,3,1
2014,54,37,14,62,27,6,110,23,16,0,7,21,9,15,24,26,0,66,10,3
2015,46,35,13,52,26,6,94,17,10,0,9,33,8,20,23,28,0,67,2,7
2016,39,23,4,26,10,0,37,9,13,0,6,20,1,6,9,11,0,27,3,1
2017,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
