year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
1910,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,4,0,0,0,0,0,1,0,3,1,0,1,1,0
1930,2,3,1,7,0,0,8,2,2,0,1,0,3,0,8,0,0,0,3,0
1940,2,1,3,1,2,0,16,5,2,0,2,0,4,4,8,0,0,2,2,3
1950,4,3,0,4,3,0,20,0,0,0,4,1,4,1,10,2,0,2,3,3
1960,17,14,1,15,10,0,42,7,1,1,12,5,8,6,13,5,1,15,7,11
1970,33,29,0,26,13,2,49,7,6,0,7,15,9,5,16,27,0,26,9,4
1980,84,75,4,82,32,1,100,19,36,0,17,59,12,11,37,55,0,71,12,9
1990,200,127,26,317,147,3,396,79,84,6,27,67,20,71,168,92,0,225,17,10
2000,467,320,108,809,308,57,1015,248,178,23,77,189,80,163,436,194,2,536,58,20
2010,345,218,91,461,181,45,645,146,115,4,50,183,44,87,195,159,5,396,32,22
