director,revenue,popularity,vote_average,top5
Steven Spielberg,9147393164,1309.456693,188.3,Jurassic Park (1993)<br>E.T. the Extra-Terrestrial (1982)<br>Indiana Jones and the Kingdom of the Crystal Skull (2008)<br>War of the Worlds (2005)<br>Saving Private Ryan (1998)
Peter Jackson,6498642820,792.017366,66.0,The Lord of the Rings: The Return of the King (2003)<br>The Hobbit: An Unexpected Journey (2012)<br>The Hobbit: The Desolation of Smaug (2013)<br>The Hobbit: The Battle of the Five Armies (2014)<br>The Lord of the Rings: The Two Towers (2002)
James Cameron,5883569439,557.791802,51.3,Avatar (2009)<br>Titanic (1997)<br>Terminator 2: Judgment Day (1991)<br>True Lies (1994)<br>Aliens (1986)
Michael Bay,5832524638,520.982231,76.8,Transformers: Dark of the Moon (2011)<br>Transformers: Age of Extinction (2014)<br>Transformers: Revenge of the Fallen (2009)<br>Transformers (2007)<br>Armageddon (1998)
Christopher Nolan,4227483234,1482.985962,62.4,The Dark Knight Rises (2012)<br>The Dark Knight (2008)<br>Inception (2010)<br>Interstellar (2014)<br>Batman Begins (2005)
Chris Columbus,3725631503,624.805612,72.5,Harry Potter and the Philosopher's Stone (2001)<br>Harry Potter and the Chamber of Secrets (2002)<br>Home Alone (1990)<br>Mrs. Doubtfire (1993)<br>Home Alone 2: Lost in New York (1992)
Robert Zemeckis,3590622002,664.3931220000001,89.9,Forrest Gump (1994)<br>Cast Away (2000)<br>Back to the Future (1985)<br>Back to the Future Part II (1989)<br>A Christmas Carol (2009)
George Lucas,3339113893,287.85056299999997,34.8,Star Wars: Episode I - The Phantom Menace (1999)<br>Star Wars: Episode III - Revenge of the Sith (2005)<br>Star Wars (1977)<br>Star Wars: Episode II - Attack of the Clones (2002)<br>American Graffiti (1973)
Tim Burton,3337418241,658.104763,94.2,Alice in Wonderland (2010)<br>Charlie and the Chocolate Factory (2005)<br>Batman (1989)<br>Planet of the Apes (2001)<br>Batman Returns (1992)
Ridley Scott,3189557997,920.928819,107.1,The Martian (2015)<br>Gladiator (2000)<br>Prometheus (2012)<br>Robin Hood (2010)<br>Exodus: Gods and Kings (2014)
Gore Verbinski,3177013357,670.916555,45.7,Pirates of the Caribbean: Dead Man's Chest (2006)<br>Pirates of the Caribbean: At World's End (2007)<br>Pirates of the Caribbean: The Curse of the Black Pearl (2003)<br>Rango (2011)<br>The Mexican (2001)
Sam Raimi,3132901462,466.166217,73.0,Spider-Man 3 (2007)<br>Spider-Man (2002)<br>Spider-Man 2 (2004)<br>Oz: The Great and Powerful (2013)<br>Drag Me to Hell (2009)
