genres,revenue,popularity,vote_average,name
6,1845034188,100.025899,7.5,Drama
6,1084939099,112.31295,7.6,Drama
6,1004558444,187.322927,8.2,Drama
6,966550600,94.199316,6.7,Drama
6,857611174,128.655964,8.0,Drama
6,829000000,99.687084,6.1,Drama
6,788241776,90.457886,8.0,Drama
6,716392705,110.153618,7.3,Drama
6,710644566,243.791743,7.3,Drama
6,709827462,94.815867,5.6,Drama
6,698491347,107.069763,5.8,Drama
6,677945399,138.133331,8.2,Drama
6,675120017,724.247784,8.1,Drama
6,672806292,73.085576,7.7,Drama
6,630161890,167.93287,7.6,Drama
6,611899420,38.171417,6.9,Drama
6,609016565,51.328145,7.2,Drama
6,585349010,70.867401,6.9,Drama
6,571006128,98.755657,5.2,Drama
6,550000000,61.22601,6.6,Drama
6,543514353,101.187052,6.7,Drama
6,532950503,100.635882,7.3,Drama
6,531865000,81.834855,6.7,Drama
6,505000000,41.967005,6.9,Drama
6,497409852,66.803149,6.9,Drama
6,494471524,32.079995,6.1,Drama
6,482860185,138.433168,7.0,Drama
6,481840909,76.041867,7.9,Drama
6,478207520,44.635452,6.5,Drama
6,470490832,100.412364,6.0,Drama
6,457640427,95.301296,7.9,Drama
6,456758981,52.341226,7.3,Drama
6,442824138,45.381501,7.3,Drama
6,441809770,48.356214,7.1,Drama
6,441306145,47.584643,7.5,Drama
6,441286195,30.884535,7.0,Drama
6,429632142,57.739713,7.5,Drama
6,425368238,82.121691,7.8,Drama
6,424208848,45.707835,7.6,Drama
6,414211549,54.053576,7.6,Drama
6,412800000,49.510658,7.6,Drama
6,411006740,26.576385,6.1,Drama
6,408247917,28.848187,6.4,Drama
6,400176459,48.98255,7.7,Drama
6,396600000,77.178973,5.8,Drama
6,392616625,127.084938,5.8,Drama
6,392000694,95.007934,7.9,Drama
6,377910544,59.258969,7.6,Drama
6,374218673,115.040024,7.5,Drama
6,369330363,143.041543,7.9,Drama
6,368744044,18.115566,6.2,Drama
6,368100420,34.576913,6.4,Drama
6,363889678,28.969151,7.0,Drama
6,362637473,46.115758,5.6,Drama
6,356296601,80.878605,7.9,Drama
