cast,revenue,popularity,vote_average,name
4590,516642939,32.829538,6.1,Robert De Niro
4590,367275019,47.094369,5.8,Robert De Niro
4590,330444045,29.97224,6.6,Robert De Niro
4590,310650585,32.389353,5.4,Robert De Niro
4590,205738714,63.599973,6.9,Robert De Niro
4590,194564672,53.114573,7.1,Robert De Niro
4590,182300000,27.714043,7.0,Robert De Niro
4590,176885658,29.415229,6.4,Robert De Niro
4590,165615285,16.245068,7.3,Robert De Niro
4590,142044638,21.219292,5.7,Robert De Niro
4590,134402450,28.043508,6.4,Robert De Niro
4590,122644820,18.228538,6.1,Robert De Niro
4590,119114517,16.20985,6.8,Robert De Niro
4590,116112375,40.06688,7.8,Robert De Niro
4590,101134059,29.876507,6.4,Robert De Niro
4590,94073028,56.805781,5.7,Robert De Niro
4590,73174566,18.380176,5.9,Robert De Niro
4590,71069884,22.572323,6.7,Robert De Niro
4590,64256513,13.581966,6.7,Robert De Niro
4590,57777106,29.501489,6.1,Robert De Niro
4590,56359980,15.205371,5.7,Robert De Niro
4590,55003135,21.08952,5.7,Robert De Niro
4590,50000000,19.786392,7.8,Robert De Niro
4590,48814909,24.147269,7.0,Robert De Niro
4590,46836394,63.654244,8.2,Robert De Niro
4590,44907260,21.362949,6.0,Robert De Niro
4590,41610884,32.657488,6.7,Robert De Niro
4590,38413606,12.821329,7.2,Robert De Niro
4590,30114487,12.10235,4.7,Robert De Niro
4590,28262574,58.845025,8.0,Robert De Niro
4590,23000000,35.524457,7.7,Robert De Niro
4590,22433915,3.476966,5.7,Robert De Niro
4590,21819348,18.84332,5.7,Robert De Niro
4590,18626419,4.366488,5.7,Robert De Niro
4590,13551174,22.748174,6.0,Robert De Niro
4590,9479718,12.445176,5.2,Robert De Niro
4590,6673422,8.31653,5.2,Robert De Niro
4590,4488529,5.271559,5.9,Robert De Niro
4590,4100000,15.079993,5.6,Robert De Niro
4590,3000000,17.002096,7.2,Robert De Niro
4590,0,7.444189,6.1,Robert De Niro
4590,0,3.876242,6.1,Robert De Niro
4590,0,41.089863,7.5,Robert De Niro
4590,0,49.336397,8.2,Robert De Niro
4590,0,9.927018,5.6,Robert De Niro
4590,0,15.440465,6.5,Robert De Niro
4791,714766572,72.225265,7.6,Samuel L. Jackson
4791,631442092,77.817571,7.4,Samuel L. Jackson
4791,366101666,51.881077,6.9,Samuel L. Jackson
4791,277448382,46.217769,5.8,Samuel L. Jackson
4791,248118121,42.006908,6.9,Samuel L. Jackson
4791,222231186,21.218,5.9,Samuel L. Jackson
4791,213928762,121.463076,8.3,Samuel L. Jackson
4791,155760117,68.717016,7.6,Samuel L. Jackson
4791,152266007,25.219805,7.0,Samuel L. Jackson
4791,116643346,34.052253,5.8,Samuel L. Jackson
4791,107196498,19.643365,5.5,Samuel L. Jackson
4791,94935764,17.270539,5.9,Samuel L. Jackson
4791,94679598,35.169779,6.5,Samuel L. Jackson
4791,89456761,15.858629,6.5,Samuel L. Jackson
4791,76669806,23.234651,7.3,Samuel L. Jackson
4791,71073932,36.689223,4.7,Samuel L. Jackson
4791,62022014,19.642328,5.1,Samuel L. Jackson
4791,44547681,28.725621,6.8,Samuel L. Jackson
4791,42792561,19.226763,6.2,Samuel L. Jackson
4791,39673162,40.631671,7.3,Samuel L. Jackson
4791,39031337,14.84856,4.7,Samuel L. Jackson
4791,27640028,20.495749,5.9,Samuel L. Jackson
4791,13100000,18.65988,5.8,Samuel L. Jackson
4791,12382362,6.925645,5.4,Samuel L. Jackson
4791,10903846,11.429607,6.6,Samuel L. Jackson
4791,14,9.670031,5.9,Samuel L. Jackson
4791,0,6.90894,5.7,Samuel L. Jackson
4791,0,5.483671,6.3,Samuel L. Jackson
4791,0,5.517597,6.7,Samuel L. Jackson
4791,0,14.182301,5.3,Samuel L. Jackson
4791,0,4.722403,6.0,Samuel L. Jackson
4791,0,12.963328,5.7,Samuel L. Jackson
4791,0,4.898437,5.9,Samuel L. Jackson
4791,0,3.159574,6.2,Samuel L. Jackson
4791,0,1.963219,3.2,Samuel L. Jackson
690,672806292,73.085576,7.7,Bruce Willis
690,553799566,58.485967,6.4,Bruce Willis
690,383531464,48.93337,6.4,Bruce Willis
690,366101666,51.881077,6.9,Bruce Willis
690,343397247,36.32705,6.3,Bruce Willis
690,304654182,65.402595,5.2,Bruce Willis
690,266586800,21.638673,4.6,Bruce Willis
690,263920180,109.528572,7.3,Bruce Willis
690,248118121,42.006908,6.9,Bruce Willis
690,240031094,57.69847,6.6,Bruce Willis
690,159330280,19.747459,6.1,Bruce Willis
690,149022650,29.498304,6.3,Bruce Willis
690,140767956,66.169628,7.5,Bruce Willis
690,122444772,36.664991,5.9,Bruce Willis
690,116672912,20.089933,6.0,Bruce Willis
690,106371651,23.441135,6.2,Bruce Willis
690,85632458,27.055085,6.4,Bruce Willis
690,77944725,23.663713,6.2,Bruce Willis
690,71664962,41.430245,6.6,Bruce Willis
690,69700000,18.281798,6.0,Bruce Willis
690,68263166,41.083914,7.6,Bruce Willis
690,67631903,24.353302,6.2,Bruce Willis
690,65664721,32.31022,6.2,Bruce Willis
690,58900031,6.22577,5.9,Bruce Willis
690,56308881,36.921445,7.4,Bruce Willis
690,55583804,25.825771,5.3,Bruce Willis
690,47042000,46.377628,6.6,Bruce Willis
690,32287044,14.244518,5.9,Bruce Willis
690,26155781,14.729386,5.5,Bruce Willis
690,17218080,16.803457,5.4,Bruce Willis
690,6673422,8.31653,5.2,Bruce Willis
690,0,44.34333,6.4,Bruce Willis
690,0,18.877795,6.0,Bruce Willis
690,0,2.695896,5.2,Bruce Willis
690,0,12.60629,6.5,Bruce Willis
3641,630161890,167.93287,7.6,Matt Damon
3641,481840909,76.041867,7.9,Matt Damon
3641,450717150,60.929352,7.2,Matt Damon
3641,442824138,45.381501,7.3,Matt Damon
3641,415484914,62.641286,5.9,Matt Damon
3641,311312624,42.069993,6.5,Matt Damon
3641,289847354,63.429157,7.9,Matt Damon
3641,288500217,53.213931,7.2,Matt Damon
3641,286140700,67.33767,6.4,Matt Damon
3641,252276927,49.292384,7.2,Matt Damon
3641,225933435,43.734886,7.9,Matt Damon
3641,214034224,86.476817,7.3,Matt Damon
3641,154984035,43.873266,5.8,Matt Damon
3641,137551594,38.820858,6.2,Matt Damon
3641,128798265,31.385257,7.0,Matt Damon
3641,127869379,26.60772,6.5,Matt Damon
3641,122563539,41.670544,7.4,Matt Damon
3641,122233971,23.85119,7.0,Matt Damon
3641,120081841,38.629763,6.5,Matt Damon
3641,105316267,40.138009,5.6,Matt Damon
3641,105197635,13.365715,5.8,Matt Damon
3641,94882889,30.254021,6.4,Matt Damon
3641,94000000,16.871194,6.3,Matt Damon
3641,45916769,12.229516,6.7,Matt Damon
3641,39459427,16.848899,6.3,Matt Damon
3641,36754634,14.44381,6.3,Matt Damon
3641,35424826,17.772518,6.0,Matt Damon
3641,33828318,8.802525,5.1,Matt Damon
3641,30652890,14.543435,6.8,Matt Damon
3641,22921898,18.422008,6.9,Matt Damon
3641,8138788,13.568302,6.0,Matt Damon
3641,7871522,16.930914,7.7,Matt Damon
3641,46495,4.898424,6.1,Matt Damon
3641,0,7.524671,5.8,Matt Damon
3641,0,5.038953,6.2,Matt Damon
4076,585178928,64.183321,6.8,Nicolas Cage
4076,347451894,58.849256,6.4,Nicolas Cage
4076,335062621,51.469576,6.9,Nicolas Cage
4076,245676146,46.075037,6.8,Nicolas Cage
4076,237202299,52.995628,6.1,Nicolas Cage
4076,228738393,46.834704,5.2,Nicolas Cage
4076,224012234,45.154631,6.5,Nicolas Cage
4076,215283742,35.580815,5.8,Nicolas Cage
4076,198685114,21.272734,6.4,Nicolas Cage
4076,162945894,24.697533,5.9,Nicolas Cage
4076,155446362,32.693093,5.9,Nicolas Cage
4076,149217355,48.622278,4.7,Nicolas Cage
4076,103891409,20.790703,5.8,Nicolas Cage
4076,96618699,25.580272,6.1,Nicolas Cage
4076,77628265,18.714197,5.8,Nicolas Cage
4076,62112895,9.061866,5.5,Nicolas Cage
4076,55181129,20.239061,5.5,Nicolas Cage
4076,49800000,22.030517,7.1,Nicolas Cage
4076,44091067,24.857079,6.1,Nicolas Cage
4076,42487390,14.813057,5.0,Nicolas Cage
4076,41382841,12.243887,5.9,Nicolas Cage
4076,32801173,26.441669,7.3,Nicolas Cage
4076,28931401,30.387148,5.3,Nicolas Cage
4076,24127895,34.828241,7.0,Nicolas Cage
4076,19682924,33.452469,3.7,Nicolas Cage
4076,12482775,14.031377,6.0,Nicolas Cage
4076,10589102,17.339852,6.0,Nicolas Cage
4076,5496951,28.060472,6.1,Nicolas Cage
4076,2365467,22.987897,6.5,Nicolas Cage
4076,2106557,16.830184,5.1,Nicolas Cage
4076,0,6.90894,5.7,Nicolas Cage
4076,0,19.705489,6.5,Nicolas Cage
4076,0,15.560918,6.6,Nicolas Cage
4076,0,10.48009,4.5,Nicolas Cage
2691,1065659812,145.847379,7.0,Johnny Depp
2691,1045713802,135.413856,6.4,Johnny Depp
2691,1025491110,78.530105,6.4,Johnny Depp
2691,961000000,139.082615,6.9,Johnny Depp
2691,655011224,271.972889,7.5,Johnny Depp
2691,474968763,53.905592,6.7,Johnny Depp
2691,299370084,56.268916,6.5,Johnny Depp
2691,278731369,41.426678,6.0,Johnny Depp
2691,245724603,29.91353,6.6,Johnny Depp
2691,245527149,50.306728,5.7,Johnny Depp
2691,214104620,33.691694,6.5,Johnny Depp
2691,152500343,28.727731,6.8,Johnny Depp
2691,117195061,43.571612,7.2,Johnny Depp
2691,116766556,34.160448,7.2,Johnny Depp
2691,103039258,58.991388,5.9,Johnny Depp
2691,98837872,46.049902,6.3,Johnny Depp
2691,98185582,27.555646,6.2,Johnny Depp
2691,92913171,32.908414,6.4,Johnny Depp
2691,89289910,49.046956,5.9,Johnny Depp
2691,83282296,28.350529,7.4,Johnny Depp
2691,74558115,26.134678,6.6,Johnny Depp
2691,64352607,37.181019,6.3,Johnny Depp
2691,58401898,30.359164,6.3,Johnny Depp
2691,53000000,47.51363,7.5,Johnny Depp
2691,41954997,40.370442,7.4,Johnny Depp
2691,30418560,52.417529,5.4,Johnny Depp
2691,30000000,33.282794,7.5,Johnny Depp
2691,22200000,8.870614,6.2,Johnny Depp
2691,19598588,20.697556,5.4,Johnny Depp
