genres,year,count
Action,1916,0
Action,1925,0
Action,1927,0
Action,1929,0
Action,1930,1
Action,1932,0
Action,1933,0
Action,1934,0
Action,1935,0
Action,1936,1
Action,1937,0
Action,1938,0
Action,1939,0
Action,1940,0
Action,1941,0
Action,1942,0
Action,1944,0
Action,1945,0
Action,1946,0
Action,1947,1
Action,1948,0
Action,1949,1
Action,1950,1
Action,1951,0
Action,1952,1
Action,1953,0
Action,1954,1
Action,1955,0
Action,1956,1
Action,1957,0
Action,1958,0
Action,1959,0
Action,1960,0
Action,1961,1
Action,1962,2
Action,1963,4
Action,1964,2
Action,1965,1
Action,1966,1
Action,1967,2
Action,1968,0
Action,1969,4
Action,1970,4
Action,1971,4
Action,1972,1
Action,1973,2
Action,1974,1
Action,1975,1
Action,1976,2
Action,1977,6
Action,1978,5
Action,1979,7
Action,1980,5
Action,1981,9
Action,1982,8
Action,1983,7
Action,1984,12
Action,1985,10
Action,1986,7
Action,1987,8
Action,1988,7
Action,1989,11
Action,1990,8
Action,1991,11
Action,1992,9
Action,1993,17
Action,1994,21
Action,1995,25
Action,1996,22
Action,1997,37
Action,1998,25
Action,1999,25
Action,2000,40
Action,2001,53
Action,2002,52
Action,2003,42
Action,2004,41
Action,2005,48
Action,2006,50
Action,2007,44
Action,2008,46
Action,2009,51
Action,2010,49
Action,2011,58
Action,2012,43
Action,2013,56
Action,2014,54
Action,2015,46
Action,2016,39
Action,2017,0
Adventure,1916,0
Adventure,1925,0
Adventure,1927,0
Adventure,1929,0
Adventure,1930,0
Adventure,1932,0
Adventure,1933,0
Adventure,1934,0
Adventure,1935,0
Adventure,1936,1
Adventure,1937,1
Adventure,1938,0
Adventure,1939,1
Adventure,1940,1
Adventure,1941,0
Adventure,1942,0
Adventure,1944,0
Adventure,1945,0
Adventure,1946,0
Adventure,1947,0
Adventure,1948,0
Adventure,1949,0
Adventure,1950,0
Adventure,1951,0
Adventure,1952,0
Adventure,1953,1
Adventure,1954,1
Adventure,1955,0
Adventure,1956,1
Adventure,1957,0
Adventure,1958,0
Adventure,1959,0
Adventure,1960,0
Adventure,1961,0
Adventure,1962,2
Adventure,1963,5
Adventure,1964,1
Adventure,1965,1
Adventure,1966,1
Adventure,1967,1
Adventure,1968,1
Adventure,1969,2
Adventure,1970,3
Adventure,1971,1
Adventure,1972,2
Adventure,1973,1
Adventure,1974,2
Adventure,1975,2
Adventure,1976,2
Adventure,1977,5
Adventure,1978,4
Adventure,1979,7
Adventure,1980,3
Adventure,1981,10
Adventure,1982,6
Adventure,1983,7
Adventure,1984,7
Adventure,1985,10
Adventure,1986,7
Adventure,1987,9
Adventure,1988,6
Adventure,1989,10
Adventure,1990,8
Adventure,1991,10
Adventure,1992,5
Adventure,1993,13
Adventure,1994,9
Adventure,1995,11
Adventure,1996,14
Adventure,1997,23
Adventure,1998,21
Adventure,1999,13
Adventure,2000,24
Adventure,2001,27
Adventure,2002,40
Adventure,2003,28
Adventure,2004,32
Adventure,2005,37
Adventure,2006,34
Adventure,2007,25
Adventure,2008,37
Adventure,2009,36
Adventure,2010,30
Adventure,2011,32
Adventure,2012,25
Adventure,2013,36
Adventure,2014,37
Adventure,2015,35
Adventure,2016,23
Adventure,2017,0
Animation,1916,0
Animation,1925,0
Animation,1927,0
Animation,1929,0
Animation,1930,0
Animation,1932,0
Animation,1933,0
