title,director,cast,genres,revenue,vote_average,popularity
Avatar (2009),James Cameron,Sam Worthington / Zoe Saldana / Sigourney Weaver,Action / Adventure / Fantasy / Science Fiction,2787965087,7.2,150.437577
Titanic (1997),James Cameron,Kate Winslet / Leonardo DiCaprio / Frances Fisher,Drama / Romance / Thriller,1845034188,7.5,100.025899
The Avengers (2012),Joss Whedon,Robert Downey Jr. / Chris Evans / Mark Ruffalo,Science Fiction / Action / Adventure,1519557910,7.4,144.448633
Jurassic World (2015),Colin Trevorrow,Chris Pratt / Bryce Dallas Howard / Irrfan Khan,Action / Adventure / Science Fiction / Thriller,1513528810,6.5,418.708552
Furious 7 (2015),James Wan,Vin Diesel / Paul Walker / Dwayne Johnson,Action,1506249360,7.3,102.322217
Avengers: Age of Ultron (2015),Joss Whedon,Robert Downey Jr. / Chris Hemsworth / Mark Ruffalo,Action / Adventure / Science Fiction,1405403694,7.3,134.279229
Frozen (2013),Chris Buck,Kristen Bell / Idina Menzel / Jonathan Groff,Animation / Adventure / Family,1274219009,7.3,165.125366
Iron Man 3 (2013),Shane Black,Robert Downey Jr. / Gwyneth Paltrow / Don Cheadle,Action / Adventure / Science Fiction,1215439994,6.8,77.68208
Minions (2015),Kyle Balda,Sandra Bullock / Jon Hamm / Michael Keaton,Family / Animation / Adventure / Comedy,1156730962,6.4,875.581305
Captain America: Civil War (2016),Anthony Russo,Chris Evans / Robert Downey Jr. / Scarlett Johansson,Adventure / Action / Science Fiction,1153304495,7.1,198.372395
Transformers: Dark of the Moon (2011),Michael Bay,Shia LaBeouf / John Malkovich / Ken Jeong,Action / Science Fiction / Adventure,1123746996,6.1,28.529607
The Lord of the Rings: The Return of the King (2003),Peter Jackson,Elijah Wood / Ian McKellen / Viggo Mortensen,Adventure / Fantasy / Action,1118888979,8.1,123.630332
Skyfall (2012),Sam Mendes,Daniel Craig / Judi Dench / Javier Bardem,Action / Adventure / Thriller,1108561013,6.9,93.004993
Transformers: Age of Extinction (2014),Michael Bay,Mark Wahlberg / Stanley Tucci / Kelsey Grammer,Science Fiction / Action / Adventure,1091405097,5.8,116.840296
The Dark Knight Rises (2012),Christopher Nolan,Christian Bale / Michael Caine / Gary Oldman,Action / Crime / Drama / Thriller,1084939099,7.6,112.31295
Toy Story 3 (2010),Lee Unkrich,Tom Hanks / Tim Allen / Ned Beatty,Animation / Family / Comedy,1066969703,7.6,59.995418
Pirates of the Caribbean: Dead Man's Chest (2006),Gore Verbinski,Johnny Depp / Orlando Bloom / Keira Knightley,Adventure / Fantasy / Action,1065659812,7.0,145.847379
Pirates of the Caribbean: On Stranger Tides (2011),Rob Marshall,Johnny Depp / Penélope Cruz / Ian McShane,Adventure / Action / Fantasy,1045713802,6.4,135.413856
Alice in Wonderland (2010),Tim Burton,Mia Wasikowska / Johnny Depp / Anne Hathaway,Family / Fantasy / Adventure,1025491110,6.4,78.530105
